"category_id","category_name"
"NC","Нераспределенные категории"
"J07","Коробки электроустановочные"
"Q07","Хозяйственные товары для дома"
"E07","Дрова,брикеты топливные"
"M06","Буры"
"C01","Трубы фановые и фитинги"
"461","Террасная доска"
"D14","Хомуты металлические"
"483","Брусок бессортный"
"494","Резиновая тротуарная плитка"
"P09","Плоскогубцы, клещи"
"J05","Розетки, вилки"
"474","Композитная арматура"
"P19","Пояса,сумки для инструмента"
"C24","Биотуалеты,средства очистки"
"R14","Прочая садово-парковая техника"
"C18","Комплектующие для кухни и ванной"
"306","Расходные материалы шиномонтажа"
"L02","Погонаж деревянный"
"901","Луга хозка"
"Q26","Сувениры"
"C06","Смесители"
"C10","Санфаянс"
"K34","Картины"
"K28","Шторы, тюль"
"424","Вагонка 'Хрисмон'"
"C14","Полотенцесушители"
"ZZZ","Удаленные товары"
"K25","Подоконники пластиковые"
"N02","Перфораторы,отбойные молотки"
"A10","Спец-эмали"
"S00","Вентиляция и кондиционирование"
"E04","Дымоходы"
"H05","Светильники встраиваемые и декоративные"
"C11","Кабины душевые, поддоны"
"Q41","Одежда зимняя"
"M11","Системы крепления Command,ленты Scotch"
"L08","Двери металлические"
"K30","ЛДСП"
"U05","Губки,салфетки,тряпки для уборки"
"427","Лист оцинкованный"
"U01","Бочки,фляги,канистры"
"N14","Бензопилы"
"G06","Клеи"
"L06","Двери деревянные (массив)"
"C08","Водонагреватели"
"433","Доска сухая строганная штучно"
"P15","Пусто"
"492","Теплицы"
"K10","Ламинат"
"456","Пленки и мембраны Изовек"
"P04","Тиски, струбцины"
"48E","Доска строганая бессортная"
"420","Плита OSB"
"Q43","Упаковочные материалы"
"D23","Саморезы - гипсокартон-металл"
"I07","Зарядные устройства"
"488","Доска необрезная"
"411","Железо - бетонные изделия"
"J04","Выключатели, рамки"
"K02","Обои отечественные"
"E05","Аксессуары для камина"
"D11","Зажимы,карабины,тальрепы,стяжки,крюки"
"P13","Напильники,рашпили,надфили"
"U13","Вода"
"418","Шифер"
"C28","Ванны"
"L00","Блоки дверные, оконные, верандные, арки"
"4C2","Кирпич"
"4H4","Фитинги стальные"
"O06","Инструмент для обоев"
"Q44","Товары для летнего спорта"
"D22","Саморезы - гипсокартон-дерево"
"L05","Застекленные изделия"
"R01","Кашпо, горшки, вазоны"
"S01","Газовое оборудование"
"Q23","Пиротехника"
"401","Керамзит"
"A06","Краски фасадные, кровельные"
"W01","Бракованый товар"
"J12","Кабель-каналы, гофра, металлорукав"
"P10","Пистолеты, степлеры, заклепочники"
"Q53","Мебель кухонная"
"V19","Поплавки"
"4C4","Доска сухая строганная м3"
"A05","Краски масляные"
"H12","Сим-карты"
"4H0","Локальные очистные сооружения"
"C16","Комплектующие для смесителей"
"A13","Мастики"
"487","Пиломатериалы естественной влажности"
"D17","Цепи"
"M00","Абразивы, ленты шлифовальные,корщетки"
"D21","Гвозди с покрытием(оцинков,омеднен,цвет."
"429","Имитатор бруса штучно"
"Q47","Товары для детей"
"I02","Лампы люминесцентные"
"C15","Комлектующие для фаянса"
"43B","Водосточная система Docke"
"U10","Корзины, контейнеры"
"301","Поддоны"
"I08","Лампы светодиодные"
"402","Щебень,мраморная крошка"
"H02","Светильники напольные"
"472","Проволока вязальная, лента упаковочная"
"R29","Грунты Вимос"
"N11","Прочий электроинструмент"
"Q36","Средства по уходу за обувью"
"496","Плитка тротуарная (штуки)"
"J11","Кабель, шнуры эл."
"J01","Трансформаторы, стабилизаторы, мультимет"
"P20","Ящики для инструментов"
"R11","Мотокосы"
"P26","Перчатки, рукавицы"
"C19","ленты ФУМ,пасты,лен"
"N06","Пилы дисковые циркулярные"
"D27","Замки навесные, велосипедные"
"H03","Светильники настольные"
"Q31","Очаги электрические"
"A15","Шпатлевки (готовые)"
"O08","Краскораспылители"
"4N1","Саженцы стройка"
"C09","Краны, коллекторы"
"C04","Фитинги резьбовые"
"F00","Герметики"
"R00","Инвентарь садово-огородный"
"R23","Рассада"
"I09","Ленты светодиодные"
"465","Геотекстиль"
"4G1","Поликарбонат"
"P17","Измерительный инструмент,уровни"
"Q14","Клеенки, скатерти"
"N03","Углошлифовальные машины"
"P07","Стамески, долота,зубила,керны"
"N21","Виброплиты"
"A18","Системы колеровочные"
"P14","Паяльники,лампы,паяльные"
"B06","Смеси для кладки"
"4G2","Теплоизолированные трубы"
"L04","Стеклопакеты"
"Q18","Сиверская бытовая техника"
"I01","Лампы галогенные"
"415","Фанера"
"201","Уцененные товары хозка"
"J10","Сопутствующие товары"
"M03","Круги, диски"
"R04","Качели, гамаки, шезлонги, тенты"
"498","Вагонка сухая штучно"
"K31","Покрытия пробковые"
"T21","Термосы,сумки-термосы"
"D31","Петли дверные, оконные"
"A09","Эмали аэрозольные"
"R19","Насосы,мотопомпы,комплектующие"
"4H1","Эковата"
"K05","Пленка самоклеющаяся"
"R18","Посадочные материалы"
"451","Вимос-Производство Сухие пиломатериалы"
"Q42","Охота"
"Q45","Автошины"
"P01","Ключи"
"V04","Джигеры"
"K07","Карнизы"
"R28","Комнатные растения, букеты"
"L11","Тачки, комлектующие"
"C25","Теплые полы"
"W00","Производство"
"463","Наплавляемая кровля"
"4G0","Теплоизоляционные материалы"
"D03","СТРОЙБАТ"
"444","Ursa"
"417","Ондулин"
"482","Брус хвойный сортововой"
"459","Пленки и мембраны Ондутис"
"445","Knauf insulation"
"K29","Кронштейны для бытовой техники"
"L03","Лестницы деревянные,лестничные элементы"
"E06","Радиаторы"
"J09","Патроны"
"A02","Грунтовки"
"4C0","Срубы, бани, беседки и др."
"J16","Антенны, разветвители, сумматоры, делит"
"437","Доска сухая строганная"
"K15","Погонаж пластиковый"
"Q51","Хранение на кухне"
"491","Метрика стр"
"48A","Шпунт сухой м3"
"C00","Утеплители для труб"
"Q39","Велосипеды"
"46B","Пленки и мембраны Термоспан"
"J06","Блоки электрические"
"4B1","Оголовники, колпаки"
"H08","Плафоны"
"C22","Подводка"
"4C1","Гипсокартон"
"T16","Фритюрницы"
"4N2","Контейнеры для мусора"
"N09","Термофены,термопистолеты"
"M05","Сверла"
"L13","Бетоносмесители"
"484","Брусок сухой строганный"
"R07","Системы для полива"
"U12","Жевательные резинки, конфеты"
"U06","Мешки для мусора"
"I04","Спец-лампы"
